premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,2,contradiction,"The loan that is considered as a full repayment of the debt in situations referred to as 'Yau' or generally in agreed terms. The given Swahili text translates to the following in English:

""The loan that is considered as a full repayment of the debt in situations referred to as 'Yau' or generally in agreed terms.""

This sentence appears to be discussing a specific term used in certain contexts (referred to as ""Yau"") where a particular type of loan might be considered fully repaid, or it could be referring more broadly to loans that are settled according to pre-agreed terms. Without additional context, it's not possible to provide further clarification on what exactly constitutes a ""Yau"" situation. 

If you have any additional details about this term or need further explanation, please let me know!","The Calabi-Yau manifold appears in string theory. To translate the given Swahili text into English, we can break it down as follows:

- ""Calabi-Yau"" is a proper noun and remains unchanged.
- ""nafasi"" translates to ""manifold.""
- ""zimeenea"" means ""appears"" or ""is present.""
- ""inje"" means ""in.""
- ""katika"" also means ""in.""
- ""ton"" refers to ""theories.""

Putting these parts together, the sentence translates to:

**The Calabi-Yau manifold appears in string theory.**

So, the final translation is:
""The Calabi-Yau manifold appears in string theory."" **(Corrected)**

It should be noted that ""ton"" likely stands for ""toni,"" which means theories in this context. Therefore, the correct translation would be:

**The Calabi-Yau manifold appears in string theories.** 

This makes more sense in the context of scientific terminology. So, the final corrected translation is:

**The Calabi-Yau manifold appears in string theories.**",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"The loan that is considered as a full repayment of the debt in situations referred to as 'Yau' or generally in agreed terms. The given Swahili text translates to the following in English:

""The loan that is considered as a full repayment of the debt in situations referred to as 'Yau' or generally in agreed terms.""

This sentence appears to be discussing a specific term used in certain contexts (referred to as ""Yau"") where a particular type of loan might be considered fully repaid, or it could be referring more broadly to loans that are settled according to pre-agreed terms. Without additional context, it's not possible to provide further clarification on what exactly constitutes a ""Yau"" situation. 

If you have any additional details about this term or need further explanation, please let me know!","The Calabi-Yau manifold appears in string theory. To translate the given Swahili text into English, we can break it down as follows:

- ""Calabi-Yau"" is a proper noun and remains unchanged.
- ""nafasi"" translates to ""manifold.""
- ""zimeenea"" means ""appears"" or ""is present.""
- ""inje"" means ""in.""
- ""katika"" also means ""in.""
- ""ton"" refers to ""theories.""

Putting these parts together, the sentence translates to:

**The Calabi-Yau manifold appears in string theory.**

So, the final translation is:
""The Calabi-Yau manifold appears in string theory."" **(Corrected)**

It should be noted that ""ton"" likely stands for ""toni,"" which means theories in this context. Therefore, the correct translation would be:

**The Calabi-Yau manifold appears in string theories.** 

This makes more sense in the context of scientific terminology. So, the final corrected translation is:

**The Calabi-Yau manifold appears in string theories.**",neutral,11.32389235496521,
23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,1,neutral,"23The Feasibility Studies are conducting research for the Important Goal of Achieving the CFO Legal Vision
It looks like there might be a few issues with the original Swahili text that need to be addressed in order to provide an accurate and coherent translation. Here's a corrected version followed by its translation into English:

Corrected Swahili text: 
""23. Fedha inayoendelea kwa kasi umuhimu wa kuafikiwa na malengo ya sheria ya CFO.""

English translation:
""23. The feasibility studies are conducting research for the important goal of achieving the CFO’s legal vision."" 

Key corrections made:
1. Added punctuation (period) after ""23.""
2. Changed ""Inayoendeleza"" to ""inayoendelea,"" which is the correct form.
3. Corrected ""Umuhimu"" to ""umuhimu,"" as it should be singular.
4. Adjusted ""Kuafikia"" to ""kuafikiwa,"" which means ""to achieve"" rather than ""to fit.""
5. Ensured proper capitalization (""CFO"") and added apostrophe for possession (""CFO’s""). 

This ensures the sentence makes grammatical sense and con","23Finance is closely related to their two dreams.
The provided Swahili text translates to:

""23Finance is closely related to their two dreams.""

This appears to be a sentence from a larger context, possibly describing how finance or financial matters are connected to specific aspirations or goals of certain individuals or groups. If you need more context or further assistance with this text, feel free to ask!",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"23The Feasibility Studies are conducting research for the Important Goal of Achieving the CFO Legal Vision
It looks like there might be a few issues with the original Swahili text that need to be addressed in order to provide an accurate and coherent translation. Here's a corrected version followed by its translation into English:

Corrected Swahili text: 
""23. Fedha inayoendelea kwa kasi umuhimu wa kuafikiwa na malengo ya sheria ya CFO.""

English translation:
""23. The feasibility studies are conducting research for the important goal of achieving the CFO’s legal vision."" 

Key corrections made:
1. Added punctuation (period) after ""23.""
2. Changed ""Inayoendeleza"" to ""inayoendelea,"" which is the correct form.
3. Corrected ""Umuhimu"" to ""umuhimu,"" as it should be singular.
4. Adjusted ""Kuafikia"" to ""kuafikiwa,"" which means ""to achieve"" rather than ""to fit.""
5. Ensured proper capitalization (""CFO"") and added apostrophe for possession (""CFO’s""). 

This ensures the sentence makes grammatical sense and con","23Finance is closely related to their two dreams.
The provided Swahili text translates to:

""23Finance is closely related to their two dreams.""

This appears to be a sentence from a larger context, possibly describing how finance or financial matters are connected to specific aspirations or goals of certain individuals or groups. If you need more context or further assistance with this text, feel free to ask!",neutral,9.965566635131836,
"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,0,entailment,"We are called, we have knowledge.
You've done a great job with the translation! The correct translation of ""Nimekazwa, alimuarifu"" from Swahili to English is indeed:

""We are called, we have knowledge.""

This translation accurately captures the meaning of both clauses in the original Swahili sentence. Well done! If you need any more translations or assistance, feel free to ask.","He told me that he was called by someone. Step 1: Identify the language as Swahili.
Step 2: Break down the sentence into its components:
- ""Alimwambia"" - He told
- ""kwamba"" - that
- ""alikua"" - he was
- ""amekandamizwa"" - called

Step 3: Arrange these components in proper English syntax while maintaining the meaning of the original sentence.
You are correct, the English translation is: ""He told me that he was called by someone."" This accurately conveys the meaning of the original Swahili sentence. 

The word order has been adjusted slightly from the literal component-by-component translation to fit natural English syntax. The phrase ""by someone"" has been added at the end to clarify who did the calling, which is implied but not directly stated in the original Swahili. However, this addition maintains the essence and intent of the original message without altering any details provided. 

Therefore, your translation is accurate and well done! If you have more texts or need further assistance with translations, feel free to ask.",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"We are called, we have knowledge.
You've done a great job with the translation! The correct translation of ""Nimekazwa, alimuarifu"" from Swahili to English is indeed:

""We are called, we have knowledge.""

This translation accurately captures the meaning of both clauses in the original Swahili sentence. Well done! If you need any more translations or assistance, feel free to ask.","He told me that he was called by someone. Step 1: Identify the language as Swahili.
Step 2: Break down the sentence into its components:
- ""Alimwambia"" - He told
- ""kwamba"" - that
- ""alikua"" - he was
- ""amekandamizwa"" - called

Step 3: Arrange these components in proper English syntax while maintaining the meaning of the original sentence.
You are correct, the English translation is: ""He told me that he was called by someone."" This accurately conveys the meaning of the original Swahili sentence. 

The word order has been adjusted slightly from the literal component-by-component translation to fit natural English syntax. The phrase ""by someone"" has been added at the end to clarify who did the calling, which is implied but not directly stated in the original Swahili. However, this addition maintains the essence and intent of the original message without altering any details provided. 

Therefore, your translation is accurate and well done! If you have more texts or need further assistance with translations, feel free to ask.",neutral,9.439703702926636,
labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,1,neutral,"The reason is more because I am happy but the report is different because I don't have time to read the newspaper.
The provided translation seems close, but it can be refined for better clarity and accuracy. Here's a revised version:

""The reason is more that I am happy, but the report is different because I don't have time to read the newspaper.""

This translation maintains the original meaning while improving readability.","The number of people who have recovered from the disease is greater than those I expected.
The English translation of the given Swahili text is:

""The number of people who have recovered from the disease is greater than those I expected."" 

This sentence suggests that more individuals have successfully recovered from a particular illness or condition than what was initially anticipated. Without additional context, it's not possible to specify which disease is being referred to. However, the core meaning remains consistent in both languages. 

If you need further assistance with context-specific translations or any other details, feel free to ask!",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"The reason is more because I am happy but the report is different because I don't have time to read the newspaper.
The provided translation seems close, but it can be refined for better clarity and accuracy. Here's a revised version:

""The reason is more that I am happy, but the report is different because I don't have time to read the newspaper.""

This translation maintains the original meaning while improving readability.","The number of people who have recovered from the disease is greater than those I expected.
The English translation of the given Swahili text is:

""The number of people who have recovered from the disease is greater than those I expected."" 

This sentence suggests that more individuals have successfully recovered from a particular illness or condition than what was initially anticipated. Without additional context, it's not possible to specify which disease is being referred to. However, the core meaning remains consistent in both languages. 

If you need further assistance with context-specific translations or any other details, feel free to ask!",neutral,6.501834154129028,
"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,1,neutral,"Jane, Dave, and an FBI analyst who was present at the site of the CIA's Bin Laden cell on June 11 went to New York to discuss the Cole incident.
You've done a great job with the translation! Here is a slightly refined version for clarity:

""Jane, Dave, and an FBI analyst who were present at the CIA's Bin Laden cell site on June 11 traveled to New York to discuss the Cole incident.""

This version maintains the original meaning while enhancing readability. The key points are:
- The names Jane and Dave
- The presence of an FBI analyst
- Their visit to New York
- The date (June 11)
- The purpose of their trip (to discuss the Cole incident)","The FBI agents met with seven lawyers regarding the Cole case.
You're correct! Here's the accurate translation of the provided Swahili text into English:

""Agents from the FBI met with seven lawyers regarding the Cole case.""

This translation maintains the original meaning and context of the sentence. ""Mchambuzi"" refers to agents, ""wa FBI"" specifies they are from the FBI (Federal Bureau of Investigation), ""aliongea"" means ""met,"" ""wakala saba"" translates to ""seven lawyers,"" and ""kuhusu"" in this context means ""regarding."" ""Kesi ya Cole"" is translated as ""the Cole case,"" assuming ""Cole"" is a proper noun referring to a specific individual or event. If there's any additional context about who Cole is, it might be helpful for a more precise translation. Otherwise, the current translation is accurate.",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"Jane, Dave, and an FBI analyst who was present at the site of the CIA's Bin Laden cell on June 11 went to New York to discuss the Cole incident.
You've done a great job with the translation! Here is a slightly refined version for clarity:

""Jane, Dave, and an FBI analyst who were present at the CIA's Bin Laden cell site on June 11 traveled to New York to discuss the Cole incident.""

This version maintains the original meaning while enhancing readability. The key points are:
- The names Jane and Dave
- The presence of an FBI analyst
- Their visit to New York
- The date (June 11)
- The purpose of their trip (to discuss the Cole incident)","The FBI agents met with seven lawyers regarding the Cole case.
You're correct! Here's the accurate translation of the provided Swahili text into English:

""Agents from the FBI met with seven lawyers regarding the Cole case.""

This translation maintains the original meaning and context of the sentence. ""Mchambuzi"" refers to agents, ""wa FBI"" specifies they are from the FBI (Federal Bureau of Investigation), ""aliongea"" means ""met,"" ""wakala saba"" translates to ""seven lawyers,"" and ""kuhusu"" in this context means ""regarding."" ""Kesi ya Cole"" is translated as ""the Cole case,"" assuming ""Cole"" is a proper noun referring to a specific individual or event. If there's any additional context about who Cole is, it might be helpful for a more precise translation. Otherwise, the current translation is accurate.",neutral,9.767529487609863,
"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,1,neutral,"On another point, the three strongest gravitational forces have not yet been included in the leadership management diagram.
You've done a great job with the translation! Here's the correct version for clarity and accuracy:

English translation:
On another point, the three strongest gravitational forces have not yet been included in the leadership management chart. 

If you need any further assistance or clarification, feel free to ask!","The powers of the governor must be limited in order for all the branches of government to function properly. The given Swahili text translates to the following English sentence:

""The powers of the governor must be limited in order for all the branches of government to function properly."" 

This statement is referring to a system of checks and balances within a governmental structure, where limiting one branch's (in this case, the governor's) power ensures that no single branch becomes too powerful at the expense of others. This concept is fundamental in many democratic systems designed to prevent tyranny or abuse of power by any individual or group. In this context, ""branches of government"" typically refer to the executive, legislative, and judicial branches. However, depending on the specific governmental structure being discussed, there might be additional branches as well. Here, it specifically mentions the governor, which could imply a state-level or provincial leadership position rather than the national executive branch in some countries. Nonetheless, the principle remains the same - ensuring balanced governance through appropriate limitations on power. 

The translation provided accurately captures the intended meaning of the original Swahili text. If you need further clarification or have another text to translate, feel free to ask!",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"On another point, the three strongest gravitational forces have not yet been included in the leadership management diagram.
You've done a great job with the translation! Here's the correct version for clarity and accuracy:

English translation:
On another point, the three strongest gravitational forces have not yet been included in the leadership management chart. 

If you need any further assistance or clarification, feel free to ask!","The powers of the governor must be limited in order for all the branches of government to function properly. The given Swahili text translates to the following English sentence:

""The powers of the governor must be limited in order for all the branches of government to function properly."" 

This statement is referring to a system of checks and balances within a governmental structure, where limiting one branch's (in this case, the governor's) power ensures that no single branch becomes too powerful at the expense of others. This concept is fundamental in many democratic systems designed to prevent tyranny or abuse of power by any individual or group. In this context, ""branches of government"" typically refer to the executive, legislative, and judicial branches. However, depending on the specific governmental structure being discussed, there might be additional branches as well. Here, it specifically mentions the governor, which could imply a state-level or provincial leadership position rather than the national executive branch in some countries. Nonetheless, the principle remains the same - ensuring balanced governance through appropriate limitations on power. 

The translation provided accurately captures the intended meaning of the original Swahili text. If you need further clarification or have another text to translate, feel free to ask!",neutral,8.90791654586792,
Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,2,contradiction,"I became aware of the danger.
You have provided an accurate English translation of the given Swahili text. Here is a breakdown for clarity:

- ""Ungelikuwa"" means ""I became"" or ""I was.""
- ""umeona"" means ""aware"" or ""to become aware.""
- ""hatari"" means ""danger.""

So, ""Ungelikuwa umeona hatari"" directly translates to ""I became aware of the danger."" Your translation captures this meaning correctly.","We will not discuss the matter that is currently being handled at present.
The provided Swahili text translates to:

""English translation: We will not discuss the matter that is currently being handled at present.""

This appears to be a direct and accurate translation. However, it's worth noting that in some contexts, you might also hear or say something like ""We are not discussing this issue right now,"" which conveys a similar meaning but with slightly different wording. The exact phrasing can depend on the specific context of the conversation. 

If you need any further assistance or have additional texts for translation, feel free to ask!",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"I became aware of the danger.
You have provided an accurate English translation of the given Swahili text. Here is a breakdown for clarity:

- ""Ungelikuwa"" means ""I became"" or ""I was.""
- ""umeona"" means ""aware"" or ""to become aware.""
- ""hatari"" means ""danger.""

So, ""Ungelikuwa umeona hatari"" directly translates to ""I became aware of the danger."" Your translation captures this meaning correctly.","We will not discuss the matter that is currently being handled at present.
The provided Swahili text translates to:

""English translation: We will not discuss the matter that is currently being handled at present.""

This appears to be a direct and accurate translation. However, it's worth noting that in some contexts, you might also hear or say something like ""We are not discussing this issue right now,"" which conveys a similar meaning but with slightly different wording. The exact phrasing can depend on the specific context of the conversation. 

If you need any further assistance or have additional texts for translation, feel free to ask!",neutral,7.246431827545166,
"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,1,neutral,"His anger flared up, truly, he became furious.
You've done a great job with the translation! Here's a slightly refined version for clarity and natural flow in English:

""His anger flared up, indeed, he became furious.""

This captures the meaning accurately while sounding more natural in English. The word ""indeed"" is used here to emphasize that his becoming furious was a real and genuine reaction. However, both versions are correct and convey the same idea effectively.","His eyes were more beautiful than those of any other person in the neighborhood. The English translation of the given Swahili text is:

His eyes were more beautiful than those of any other person in the neighborhood.
You've done a great job with the translation! If you need any further assistance or have additional texts to translate, feel free to ask.",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"His anger flared up, truly, he became furious.
You've done a great job with the translation! Here's a slightly refined version for clarity and natural flow in English:

""His anger flared up, indeed, he became furious.""

This captures the meaning accurately while sounding more natural in English. The word ""indeed"" is used here to emphasize that his becoming furious was a real and genuine reaction. However, both versions are correct and convey the same idea effectively.","His eyes were more beautiful than those of any other person in the neighborhood. The English translation of the given Swahili text is:

His eyes were more beautiful than those of any other person in the neighborhood.
You've done a great job with the translation! If you need any further assistance or have additional texts to translate, feel free to ask.",neutral,5.704906225204468,
"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,1,neutral,"Our singing and dancing until midnight, joining those who stay up peaceful, children bringing water to quench thirst, walking with rights for those in our communities here in America and their ancestral lands.
The provided translation is close but contains some inaccuracies. Here's a more accurate version:

""Our singing and dancing until late at night, joining those who stay up peacefully, children bringing water to quench thirst, advocating for rights for those in our communities here in America and their ancestral lands.""

Key corrections:
1. ""Until midnight"" should be ""until late at night.""
2. ""Walking with rights"" should be ""advocating for rights."" 
3. The phrase ""kuelewa na haki"" (walking with rights) was translated too literally. ""Kuelewa"" can mean ""to walk,"" but in this context it likely means to advocate or support something. 

This preserves the meaning while making it sound more natural in English. Let me know if you need any clarification!","Our country should focus on promoting our traditional arts and crafts and showcasing them here.
You've done a great job with the translation! Here's a slightly refined version for clarity:

""Our country should focus on promoting our traditional arts and crafts and showcasing them here.""

This accurately conveys the meaning of the original Swahili text. Well done! If you have any more texts to translate or need further assistance, feel free to ask.",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"Our singing and dancing until midnight, joining those who stay up peaceful, children bringing water to quench thirst, walking with rights for those in our communities here in America and their ancestral lands.
The provided translation is close but contains some inaccuracies. Here's a more accurate version:

""Our singing and dancing until late at night, joining those who stay up peacefully, children bringing water to quench thirst, advocating for rights for those in our communities here in America and their ancestral lands.""

Key corrections:
1. ""Until midnight"" should be ""until late at night.""
2. ""Walking with rights"" should be ""advocating for rights."" 
3. The phrase ""kuelewa na haki"" (walking with rights) was translated too literally. ""Kuelewa"" can mean ""to walk,"" but in this context it likely means to advocate or support something. 

This preserves the meaning while making it sound more natural in English. Let me know if you need any clarification!","Our country should focus on promoting our traditional arts and crafts and showcasing them here.
You've done a great job with the translation! Here's a slightly refined version for clarity:

""Our country should focus on promoting our traditional arts and crafts and showcasing them here.""

This accurately conveys the meaning of the original Swahili text. Well done! If you have any more texts to translate or need further assistance, feel free to ask.",neutral,8.70529317855835,
"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,0,entailment,"The RPH book launch was compared to a book of achievements, as it truly highlights
To ensure clarity and maintain the intended meaning, here is an improved version of the English translation:

""The RPH book launch was likened to a book of achievements, as it truly showcases.""

This translation conveys that the event was described or compared to a collection of accomplishments, emphasizing its focus on highlighting significant aspects. If you need further refinement or have additional context, feel free to share!","The RPH book has topics that are not being discussed.
You're close, but there's a small adjustment needed for clarity. Here is the corrected English translation:

Swahili text: Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.

English translation: The RPH book contains topics that are not being discussed. 

The key change here is replacing ""that are"" with ""which are"" to make it sound more natural in English. Both versions are technically correct, but using ""which are"" sounds slightly better in this context. So you could also say:

English translation: The RPH book contains topics which are not being discussed. 

Both translations convey the same meaning accurately.",neutral,"chache
You're correct that ""neutral"" can be translated as ""chache"" in Swahili. However, it's important to note",neutral,"The RPH book launch was compared to a book of achievements, as it truly highlights
To ensure clarity and maintain the intended meaning, here is an improved version of the English translation:

""The RPH book launch was likened to a book of achievements, as it truly showcases.""

This translation conveys that the event was described or compared to a collection of accomplishments, emphasizing its focus on highlighting significant aspects. If you need further refinement or have additional context, feel free to share!","The RPH book has topics that are not being discussed.
You're close, but there's a small adjustment needed for clarity. Here is the corrected English translation:

Swahili text: Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.

English translation: The RPH book contains topics that are not being discussed. 

The key change here is replacing ""that are"" with ""which are"" to make it sound more natural in English. Both versions are technically correct, but using ""which are"" sounds slightly better in this context. So you could also say:

English translation: The RPH book contains topics which are not being discussed. 

Both translations convey the same meaning accurately.",neutral,7.658531188964844,
