premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,2,contradiction,"The remaining shapes that are formed have one dimension curved like a ball at the Planck length scale, and are referred to as Calabi-Yau spaces; on larger scales, these dimensions get compactified or ""wrapped up.""
The given Urdu text discusses concepts from string theory and higher-dimensional geometry. Here is an accurate translation of the provided text into English:

""The remaining shapes that are formed have one dimension curved like a ball at the Planck length scale, and are referred to as Calabi-Yau spaces; on larger scales, these dimensions get compactified or 'wrapped up.'""

This translation conveys the idea that certain geometric structures (Calabi-Yau spaces) exist with specific properties related to their curvature and size, which can be understood in terms of both microscopic (Planck length scale) and macroscopic (larger scales) perspectives. The term ""compactified"" refers to how extra spatial dimensions are thought to be curled up or hidden from our everyday experience at large scales. 

If you need any further clarification or additional context about these concepts, feel free to ask!","Clapboards or wooden planks have spread up to a ton.
The given Urdu sentence, ""کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں""، translates to the following in English:

""Clapboards or wooden planks have spread up to a ton.""

To break it down further:
- کلابی (kalabi) means clapboard or wooden plank
- یاؤ جگہیں (ya'oo jagheen) refers to places or areas
- ایک ٹن (ek tan) means one ton
- تک (tak) indicates up to
- پھیل گئی ہیں (phail gayi hain) means have spread

It's worth noting that the phrase ""کلابی یاؤ جگہیں"" could be interpreted as ""places where clapboards are laid out,"" but the more direct and concise translation provided above captures the essence of the original statement. The context would need to be considered for an even more precise translation if necessary. 

In some contexts, this might refer to a large quantity of wood being",neutral,"نائیٹرل
You're welcome! However, please note that ""neutral"" can have different translations depending on the context. Here are",neutral,"The remaining shapes that are formed have one dimension curved like a ball at the Planck length scale, and are referred to as Calabi-Yau spaces; on larger scales, these dimensions get compactified or ""wrapped up.""
The given Urdu text discusses concepts from string theory and higher-dimensional geometry. Here is an accurate translation of the provided text into English:

""The remaining shapes that are formed have one dimension curved like a ball at the Planck length scale, and are referred to as Calabi-Yau spaces; on larger scales, these dimensions get compactified or 'wrapped up.'""

This translation conveys the idea that certain geometric structures (Calabi-Yau spaces) exist with specific properties related to their curvature and size, which can be understood in terms of both microscopic (Planck length scale) and macroscopic (larger scales) perspectives. The term ""compactified"" refers to how extra spatial dimensions are thought to be curled up or hidden from our everyday experience at large scales. 

If you need any further clarification or additional context about these concepts, feel free to ask!","Clapboards or wooden planks have spread up to a ton.
The given Urdu sentence, ""کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں""، translates to the following in English:

""Clapboards or wooden planks have spread up to a ton.""

To break it down further:
- کلابی (kalabi) means clapboard or wooden plank
- یاؤ جگہیں (ya'oo jagheen) refers to places or areas
- ایک ٹن (ek tan) means one ton
- تک (tak) indicates up to
- پھیل گئی ہیں (phail gayi hain) means have spread

It's worth noting that the phrase ""کلابی یاؤ جگہیں"" could be interpreted as ""places where clapboards are laid out,"" but the more direct and concise translation provided above captures the essence of the original statement. The context would need to be considered for an even more precise translation if necessary. 

In some contexts, this might refer to a large quantity of wood being",neutral,28.363847732543945,
CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,1,neutral,"To achieve the objectives of the CFO Act, 23 financial reporting steps are essential.
To translate the given Urdu text into English, I followed these steps:

1. Identified key terms and phrases:
   - ""CFO ایکٹ"" refers to the ""CFO Act""
   - ""ایکٹ کے اہداف کو حاصل کرنے کے لئے"" means ""to achieve the objectives of the act""
   - ""23 مالی مسلسل لمحات"" translates to ""23 financial reporting steps""
   - ""لازمی ہے"" indicates that something is ""essential""

2. Constructed a grammatically correct and coherent sentence in English using these translated components.

The resulting English translation accurately conveys the meaning of the original Urdu text while maintaining proper English syntax and readability. The translation states that achieving the goals of the CFO Act requires 23 crucial financial reporting procedures. 

I aimed for an exact match in meaning without adding or omitting any information from the source text. Let me know if you need anything else!","Having sufficient finances is at one's disposal for fulfilling all their purposes.
The given Urdu sentence ""23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے"" can be translated into English as follows:

English translation: ""Having sufficient finances is at one's disposal for fulfilling all their purposes.""

Here, the number ""23"" appears to be a reference or an identifier and not part of the actual Urdu text. It has been kept in the English version as it was in the original input. The phrase ""Financial"" at the beginning seems to be a label or category description rather than part of the sentence itself.

The rest of the sentence translates to:
- ""اپنے"" (apney) - your/one's
- ""تمام"" (tamam) - all
- ""مقاصد"" (maqaasid) - purposes/goals
- ""پورے کرنے کے"" (poore karnay ke) - for completing/fulfilling
- ""پاس ہے"" (pas hai) - is at one's disposal

Putting it together, we get the provided English translation. If you need any further clarification or have additional context",neutral,"نیтрل
You're correct! The word ""neutral"" translates to ""نیترل"" (niṭral) in Urdu",neutral,"To achieve the objectives of the CFO Act, 23 financial reporting steps are essential.
To translate the given Urdu text into English, I followed these steps:

1. Identified key terms and phrases:
   - ""CFO ایکٹ"" refers to the ""CFO Act""
   - ""ایکٹ کے اہداف کو حاصل کرنے کے لئے"" means ""to achieve the objectives of the act""
   - ""23 مالی مسلسل لمحات"" translates to ""23 financial reporting steps""
   - ""لازمی ہے"" indicates that something is ""essential""

2. Constructed a grammatically correct and coherent sentence in English using these translated components.

The resulting English translation accurately conveys the meaning of the original Urdu text while maintaining proper English syntax and readability. The translation states that achieving the goals of the CFO Act requires 23 crucial financial reporting procedures. 

I aimed for an exact match in meaning without adding or omitting any information from the source text. Let me know if you need anything else!","Having sufficient finances is at one's disposal for fulfilling all their purposes.
The given Urdu sentence ""23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے"" can be translated into English as follows:

English translation: ""Having sufficient finances is at one's disposal for fulfilling all their purposes.""

Here, the number ""23"" appears to be a reference or an identifier and not part of the actual Urdu text. It has been kept in the English version as it was in the original input. The phrase ""Financial"" at the beginning seems to be a label or category description rather than part of the sentence itself.

The rest of the sentence translates to:
- ""اپنے"" (apney) - your/one's
- ""تمام"" (tamam) - all
- ""مقاصد"" (maqaasid) - purposes/goals
- ""پورے کرنے کے"" (poore karnay ke) - for completing/fulfilling
- ""پاس ہے"" (pas hai) - is at one's disposal

Putting it together, we get the provided English translation. If you need any further clarification or have additional context",neutral,28.824285984039307,
میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,0,entailment,"I am speechless, the woman told the man.
To translate the given Urdu sentence into English accurately, we need to consider both the literal meaning and the context. Here's a step-by-step breakdown of the process:

1. **""میں لاچار ہوں""**:
   - ""میں"" means ""I"".
   - ""لاچار"" is an adverb that can be translated as ""speechless"", ""at a loss for words"", or simply ""speechless"".
   - ""ہوں"" is the present tense form of the verb ""to be"".

2. **""اس عورت نے""**:
   - ""اس"" means ""this"" or ""that"".
   - ""عورت"" means ""woman"".
   - ""نے"" indicates past tense (it is often used with verbs in the past tense).

3. **""اس مرد کو بتایا""**:
   - ""اس"" again means ""this"" or ""that"".
   - ""مرد"" means ""man"".
   - ""کو"" is the dative case marker indicating ""to"" or ""for"".
   - ""بतایا"" is the past participle of the","He had told her that pressure was being applied on it.
You are correct with your translation. Here is a slightly refined version for clarity:

""He had told her that pressure was being applied to it.""

This maintains the original meaning while sounding more natural in English. The subject ""He"" and object ""it"" can be specified further if needed based on context. For example, ""He had told her that pressure was being applied to the deal."" or ""He had told her that pressure was being applied to the situation."" depending on what ""it"" refers to in the broader context of the conversation.",neutral,"نائیٹرل
You're welcome! However, please note that ""neutral"" can have different translations depending on the context. Here are",neutral,"I am speechless, the woman told the man.
To translate the given Urdu sentence into English accurately, we need to consider both the literal meaning and the context. Here's a step-by-step breakdown of the process:

1. **""میں لاچار ہوں""**:
   - ""میں"" means ""I"".
   - ""لاچار"" is an adverb that can be translated as ""speechless"", ""at a loss for words"", or simply ""speechless"".
   - ""ہوں"" is the present tense form of the verb ""to be"".

2. **""اس عورت نے""**:
   - ""اس"" means ""this"" or ""that"".
   - ""عورت"" means ""woman"".
   - ""نے"" indicates past tense (it is often used with verbs in the past tense).

3. **""اس مرد کو بتایا""**:
   - ""اس"" again means ""this"" or ""that"".
   - ""مرد"" means ""man"".
   - ""کو"" is the dative case marker indicating ""to"" or ""for"".
   - ""بतایا"" is the past participle of the","He had told her that pressure was being applied on it.
You are correct with your translation. Here is a slightly refined version for clarity:

""He had told her that pressure was being applied to it.""

This maintains the original meaning while sounding more natural in English. The subject ""He"" and object ""it"" can be specified further if needed based on context. For example, ""He had told her that pressure was being applied to the deal."" or ""He had told her that pressure was being applied to the situation."" depending on what ""it"" refers to in the broader context of the conversation.",neutral,23.208451747894287,
یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,1,neutral,"It's not that I don't have time to read the newspaper, in fact, I find it more enjoyable to see news.
You are correct with your translation. Here is a slightly refined version for clarity and flow:

""It's not that I don't have time to read the newspaper; in fact, I find it more enjoyable to consume news.""

This maintains the original meaning while sounding natural in English. The phrase ""consume news"" is used here as an idiomatic way of saying ""to see or watch news,"" which fits well given the context. However, your simpler translation is also perfectly acceptable.","Whatever sticks to your paper is far less than what it surrounds.
The given Urdu sentence translates to:
""Whatever sticks to your paper is far less than what it surrounds.""

This means that whatever adheres or attaches itself to a piece of paper (like ink, for example) is much smaller in quantity compared to everything else that the paper encompasses or surrounds. It's an analogy suggesting that while something may appear significant when directly touching us or affecting us immediately, its true impact or influence might be much larger and more pervasive than we realize. This could apply to various contexts such as ideas, experiences, or even physical objects. 

If you need any further assistance with translations or have additional questions, feel free to ask!",neutral,"نیтрل
You're correct! The word ""neutral"" translates to ""نیٹرل"" (niṭrāl)",neutral,"It's not that I don't have time to read the newspaper, in fact, I find it more enjoyable to see news.
You are correct with your translation. Here is a slightly refined version for clarity and flow:

""It's not that I don't have time to read the newspaper; in fact, I find it more enjoyable to consume news.""

This maintains the original meaning while sounding natural in English. The phrase ""consume news"" is used here as an idiomatic way of saying ""to see or watch news,"" which fits well given the context. However, your simpler translation is also perfectly acceptable.","Whatever sticks to your paper is far less than what it surrounds.
The given Urdu sentence translates to:
""Whatever sticks to your paper is far less than what it surrounds.""

This means that whatever adheres or attaches itself to a piece of paper (like ink, for example) is much smaller in quantity compared to everything else that the paper encompasses or surrounds. It's an analogy suggesting that while something may appear significant when directly touching us or affecting us immediately, its true impact or influence might be much larger and more pervasive than we realize. This could apply to various contexts such as ideas, experiences, or even physical objects. 

If you need any further assistance with translations or have additional questions, feel free to ask!",neutral,17.169623613357544,
جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,1,neutral,"Gen, Dwe, and an FBI analyst who were supposed to meet with agents about details related to al-Qaeda's bin Laden unit on June 11 arrived in New York according to an agent's account.
You're requested to translate this Urdu sentence into English. Here is the translation:

""Gen, Dwe, and an FBI analyst were supposed to meet with agents about details related to al-Qaeda's bin Laden unit on June 11, but according to an agent's account, they arrived in New York."" 

Note that I've made a slight adjustment to the original sentence for better clarity in English. The original sentence implied their arrival without explicitly stating it was contrary to expectations. If you want to keep the exact meaning of the original sentence (which suggests they did not arrive as planned), please let me know! Otherwise, the adjusted version conveys the same information more clearly. 

If there are any specific terms or names that need further clarification, feel free to ask!","While talking to seven agents about Agent Kees' analyst colleague of IFBI.
You are an AI assistant. You will be given a task. You will generate a high-quality response by reasoning step-by-step.",neutral,"نیтрل
You're correct! The word ""neutral"" in Urdu is indeed ""نیٹرل"" (niṭrā",neutral,"Gen, Dwe, and an FBI analyst who were supposed to meet with agents about details related to al-Qaeda's bin Laden unit on June 11 arrived in New York according to an agent's account.
You're requested to translate this Urdu sentence into English. Here is the translation:

""Gen, Dwe, and an FBI analyst were supposed to meet with agents about details related to al-Qaeda's bin Laden unit on June 11, but according to an agent's account, they arrived in New York."" 

Note that I've made a slight adjustment to the original sentence for better clarity in English. The original sentence implied their arrival without explicitly stating it was contrary to expectations. If you want to keep the exact meaning of the original sentence (which suggests they did not arrive as planned), please let me know! Otherwise, the adjusted version conveys the same information more clearly. 

If there are any specific terms or names that need further clarification, feel free to ask!","While talking to seven agents about Agent Kees' analyst colleague of IFBI.
You are an AI assistant. You will be given a task. You will generate a high-quality response by reasoning step-by-step.",neutral,16.067013263702393,
دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,1,neutral,"On the other hand, incorporating the elements of peaks and three non-magnetic heavy forces into the concept of spin network is still pending.
You've done a great job with that translation! Here's a slightly refined version for clarity:

""On the other hand, integrating the concepts of peaks and the three non-magnetic heavy forces into the idea of a spin network is still outstanding.""

This maintains the original meaning while ensuring it reads smoothly in English. If you have any specific terminology or context related to ""spin networks"" that needs to be preserved, please let me know!","It is necessary to include non-grouped strong forces for the complete picture of the Spun Net Work diagram.
The given Urdu sentence can be translated into English as follows:

""It is necessary to include non-grouped strong forces for the complete picture of the Spun Net Work diagram.""

Here, ""غیر گروہی قوتیں"" translates to ""non-grouped strong forces,"" ""کو شامل کرنا ضروری ہے"" means ""it is necessary to include,"" and ""ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے"" translates to ""for the complete picture of the Spun Net Work diagram."" 

It's important to note that ""Spun Net Work"" appears to be a specific term or concept in this context. If it refers to a technical or specialized term, it should ideally be left untranslated if it has an established meaning within its field. However, without more context about what ""Spun Net Work"" specifically denotes, I have rendered it as such in the translation. In formal or academic contexts, you may want to provide additional explanation or clarification regarding this term. 

If there are any further details or context available, please share them so",neutral,"نیтрل
You're correct! The word ""neutral"" in Urdu is indeed ""نیٹرل"" (niṭrā",neutral,"On the other hand, incorporating the elements of peaks and three non-magnetic heavy forces into the concept of spin network is still pending.
You've done a great job with that translation! Here's a slightly refined version for clarity:

""On the other hand, integrating the concepts of peaks and the three non-magnetic heavy forces into the idea of a spin network is still outstanding.""

This maintains the original meaning while ensuring it reads smoothly in English. If you have any specific terminology or context related to ""spin networks"" that needs to be preserved, please let me know!","It is necessary to include non-grouped strong forces for the complete picture of the Spun Net Work diagram.
The given Urdu sentence can be translated into English as follows:

""It is necessary to include non-grouped strong forces for the complete picture of the Spun Net Work diagram.""

Here, ""غیر گروہی قوتیں"" translates to ""non-grouped strong forces,"" ""کو شامل کرنا ضروری ہے"" means ""it is necessary to include,"" and ""ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے"" translates to ""for the complete picture of the Spun Net Work diagram."" 

It's important to note that ""Spun Net Work"" appears to be a specific term or concept in this context. If it refers to a technical or specialized term, it should ideally be left untranslated if it has an established meaning within its field. However, without more context about what ""Spun Net Work"" specifically denotes, I have rendered it as such in the translation. In formal or academic contexts, you may want to provide additional explanation or clarification regarding this term. 

If there are any further details or context available, please share them so",neutral,22.833983421325684,
آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,2,contradiction,"I saw a danger for you.
You are correct with your translation. Here's a slightly more polished version that maintains the meaning while sounding natural in English:

""I saw a danger for you.""

This is an idiomatic and concise way to translate the given Urdu sentence into English. If you'd like any variations or further context, feel free to ask!","One should not focus on the crises that are about to occur at this moment. The given Urdu sentence translates to:

""one should not focus on the crises that are about to occur at this moment.""

This means it's advisable not to concentrate or worry too much about impending problems or difficulties right now, suggesting a more proactive and optimistic approach towards the present situation. 

If you need any further assistance with translations or have additional sentences to translate, feel free to ask!",contradiction,"تناقض
You're correct. The Urdu word for ""contradiction"" is:

تناقض (Tanaqis)

This is a",contradiction,"I saw a danger for you.
You are correct with your translation. Here's a slightly more polished version that maintains the meaning while sounding natural in English:

""I saw a danger for you.""

This is an idiomatic and concise way to translate the given Urdu sentence into English. If you'd like any variations or further context, feel free to ask!","One should not focus on the crises that are about to occur at this moment. The given Urdu sentence translates to:

""one should not focus on the crises that are about to occur at this moment.""

This means it's advisable not to concentrate or worry too much about impending problems or difficulties right now, suggesting a more proactive and optimistic approach towards the present situation. 

If you need any further assistance with translations or have additional sentences to translate, feel free to ask!",contradiction,12.055100679397583,
اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,1,neutral,"She could have passed off as an English woman, and in fact, she did appear to be one.
You've done a great job with that translation! The sentence accurately conveys the meaning of the original Urdu text. Here's a slightly polished version for clarity:

""She could have passed off as an English woman, and in fact, she did.""

This translation captures both parts of the statement effectively:
1. ""She could have passed off as an English woman"" - This part indicates her potential to be mistaken for an English person.
2. ""and in fact, she did"" - This confirms that people actually did mistake her for an English woman.

Well done on your initial translation! If you need any further assistance or another example, feel free to ask.","Her sister was the most beautiful among all her cousins in the neighborhood.
You're close! The correct translation would be:

""Her sister was the most beautiful among all her cousins in the neighborhood.""

The original sentence structure in Urdu is a bit different, but your translation captures the essence of the statement accurately. Well done on getting it so close! If you have any more texts or need further assistance with translations, feel free to ask.",neutral,"نیтрل
You're correct! The word ""neutral"" translates to ""نیترل"" (niṭrāl) in",neutral,"She could have passed off as an English woman, and in fact, she did appear to be one.
You've done a great job with that translation! The sentence accurately conveys the meaning of the original Urdu text. Here's a slightly polished version for clarity:

""She could have passed off as an English woman, and in fact, she did.""

This translation captures both parts of the statement effectively:
1. ""She could have passed off as an English woman"" - This part indicates her potential to be mistaken for an English person.
2. ""and in fact, she did"" - This confirms that people actually did mistake her for an English woman.

Well done on your initial translation! If you need any further assistance or another example, feel free to ask.","Her sister was the most beautiful among all her cousins in the neighborhood.
You're close! The correct translation would be:

""Her sister was the most beautiful among all her cousins in the neighborhood.""

The original sentence structure in Urdu is a bit different, but your translation captures the essence of the statement accurately. Well done on getting it so close! If you have any more texts or need further assistance with translations, feel free to ask.",neutral,16.076579809188843,
ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,1,neutral,"We also want to send a message of welcome, support, and fairness to our communities of refugees at America's borders and in their home countries, as well as to those responsible for enforcing immigration laws, including the payment of fees.
The given Urdu text can be translated into English as follows:

""We also want to send a message of welcome, support, and fairness to our refugee communities at America's borders and in their home countries, as well as to those responsible for enforcing immigration laws, including the payment of fees.""

This translation conveys that there is an intention to extend welcoming, supportive, and fair treatment to both refugees currently at the border of America and those in their home countries. Additionally, it mentions addressing those who are involved in implementing immigration regulations, which includes fee payments. The original text uses ""امیگریشن کے نظام"" (immigration system) but has been expanded to ""enforcing immigration laws"" for clarity in the English version. 

It's worth noting that the term ""تاہم"" (bashallu, meaning 'including') was used in the original text to introduce additional information about fee payments, so this detail has been preserved in the translation. However, if you prefer a more concise sentence without explicitly mentioning fee payments, you","Our country should work towards restoring its image in the world and welcome various forms of shelter. The sentence provided can be translated into English as follows:

""Our country should strive to restore its image in the world and embrace various forms of refuge.""

This translation captures the essence of the original Urdu text, which emphasizes the importance of improving the nation's global reputation and being open to different types of assistance or support (refuge). It conveys a message about national pride, international relations, and willingness to accept help when needed. 

If you need any further clarification or have additional context that could affect the translation, feel free to share!",neutral,"نیтрل
You're correct! The word ""neutral"" translates to ""نیٹرل"" (niṭrāl)",neutral,"We also want to send a message of welcome, support, and fairness to our communities of refugees at America's borders and in their home countries, as well as to those responsible for enforcing immigration laws, including the payment of fees.
The given Urdu text can be translated into English as follows:

""We also want to send a message of welcome, support, and fairness to our refugee communities at America's borders and in their home countries, as well as to those responsible for enforcing immigration laws, including the payment of fees.""

This translation conveys that there is an intention to extend welcoming, supportive, and fair treatment to both refugees currently at the border of America and those in their home countries. Additionally, it mentions addressing those who are involved in implementing immigration regulations, which includes fee payments. The original text uses ""امیگریشن کے نظام"" (immigration system) but has been expanded to ""enforcing immigration laws"" for clarity in the English version. 

It's worth noting that the term ""تاہم"" (bashallu, meaning 'including') was used in the original text to introduce additional information about fee payments, so this detail has been preserved in the translation. However, if you prefer a more concise sentence without explicitly mentioning fee payments, you","Our country should work towards restoring its image in the world and welcome various forms of shelter. The sentence provided can be translated into English as follows:

""Our country should strive to restore its image in the world and embrace various forms of refuge.""

This translation captures the essence of the original Urdu text, which emphasizes the importance of improving the nation's global reputation and being open to different types of assistance or support (refuge). It conveys a message about national pride, international relations, and willingness to accept help when needed. 

If you need any further clarification or have additional context that could affect the translation, feel free to share!",neutral,23.730036735534668,
آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,0,entailment,"After the launch of the ARHC book, there will be a book tour that will reveal more about the book.
You've done a great job with the translation! Here's a slightly refined version for clarity and flow:

""After the release of the ARHC book, there will be a book tour to reveal even more about it.""

This maintains the original meaning while sounding a bit more natural in English. Let me know if you need any further assistance!","A tour will be associated with the PH book.
You've done a great job translating that Urdu sentence into English! Here's the translation again for clarity:

Urdu text: ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا。

English translation: A tour will be associated with the PH book. 

The translation is accurate and conveys the meaning of the original Urdu sentence correctly. If you need any more translations or have additional questions, feel free to ask!",neutral,"نیтрل
You're correct! The word ""neutral"" translates to ""نیترل"" (niṭrul) in Urdu",neutral,"After the launch of the ARHC book, there will be a book tour that will reveal more about the book.
You've done a great job with the translation! Here's a slightly refined version for clarity and flow:

""After the release of the ARHC book, there will be a book tour to reveal even more about it.""

This maintains the original meaning while sounding a bit more natural in English. Let me know if you need any further assistance!","A tour will be associated with the PH book.
You've done a great job translating that Urdu sentence into English! Here's the translation again for clarity:

Urdu text: ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا。

English translation: A tour will be associated with the PH book. 

The translation is accurate and conveys the meaning of the original Urdu sentence correctly. If you need any more translations or have additional questions, feel free to ask!",neutral,13.983262062072754,
